Region,Country,Item Type,Sales Channel,Order Priority,Order Date,Units Sold,Total Profit
Europe,Moldova,Beverages,Online,L,7/13/2015,5484,85879.44
Asia,Singapore,Cereal,Offline,H,12/29/2014,4099,363130.41
Central America and the Caribbean,Costa Rica,Cosmetics,Offline,M,7/22/2010,8516,1480676.92
Central America and the Caribbean,Nicaragua,Beverages,Online,M,01.12.2013,8114,127065.24
Australia and Oceania,Nauru,Cereal,Offline,L,08.03.2011,4305,381379.95
Central America and the Caribbean,Panama,Cosmetics,Offline,C,5/18/2015,5531,961674.97
Central America and the Caribbean,Nicaragua,Clothes,Offline,L,11/28/2011,2265,166341.60
Europe,Belgium,Vegetables,Offline,M,04.04.2016,2013,127080.69
Sub-Saharan Africa,Togo,Fruits,Online,H,04.10.2014,4310,10387.10
Asia,South Korea,Clothes,Online,H,10/19/2011,5724,420370.56
Europe,Bulgaria,Baby Food,Online,L,10.01.2015,4854,465304.44
Central America and the Caribbean,Costa Rica,Vegetables,Online,H,03.02.2015,7330,462742.90
Sub-Saharan Africa,Angola,Personal Care,Online,H,4/21/2015,812,20348.72
Sub-Saharan Africa,Kenya,Beverages,Offline,H,2/14/2011,9993,156490.38
Asia,Brunei,Cereal,Online,L,10/17/2013,1596,141389.64
Sub-Saharan Africa,Sao Tome and Principe,Cereal,Online,M,8/14/2016,9377,830708.43
Sub-Saharan Africa,Angola,Office Supplies,Online,C,12/20/2013,9122,1151652.50
Middle East and North Africa,Libya,Baby Food,Online,L,8/20/2012,3648,349697.28
Middle East and North Africa,Algeria,Fruits,Offline,L,11/26/2012,7804,18807.64
North America,Greenland,Clothes,Online,M,05.03.2012,3469,254763.36
Europe,Belarus,Beverages,Offline,C,2/18/2017,4555,71331.30
Sub-Saharan Africa,Gabon,Cosmetics,Online,C,8/19/2015,2003,348261.61
Asia,Turkmenistan,Personal Care,Online,C,5/16/2012,8789,220252.34
Asia,Japan,Household,Online,H,10.02.2016,4916,814728.68
Australia and Oceania,Papua New Guinea,Fruits,Offline,L,07.07.2016,2421,5834.61
Sub-Saharan Africa,Mauritius,Personal Care,Offline,C,10/29/2011,371,9297.26
Europe,Germany,Meat,Offline,H,6/27/2011,9865,564278.00
Sub-Saharan Africa,Ghana,Baby Food,Online,L,01.04.2014,9032,865807.52
Asia,Philippines,Clothes,Online,C,5/27/2011,8034,590016.96
Sub-Saharan Africa,Mali,Personal Care,Offline,M,8/26/2015,4063,101818.78
Middle East and North Africa,Somalia,Cereal,Online,L,02.10.2017,6343,561926.37
Asia,Tajikistan,Beverages,Offline,C,12/23/2010,1129,17680.14
Asia,Maldives,Meat,Online,C,3/23/2016,6706,383583.20
Asia,Turkmenistan,Vegetables,Online,C,04.04.2011,8393,529850.09
Middle East and North Africa,Iran,Personal Care,Online,H,5/22/2013,3537,88637.22
Europe,Switzerland,Clothes,Online,C,07.06.2014,6519,478755.36
Europe,Czech Republic,Snacks,Offline,L,2/20/2015,3750,206775.00
Middle East and North Africa,Jordan,Baby Food,Offline,H,1/28/2013,8672,831297.92
Central America and the Caribbean,Costa Rica,Fruits,Online,C,10.04.2014,6758,16286.78
Europe,Finland,Household,Online,L,4/30/2016,515,85350.95
Middle East and North Africa,Saudi Arabia,Beverages,Online,C,12/31/2014,4477,70109.82
Europe,Latvia,Beverages,Online,M,10/28/2012,213,3335.58
Sub-Saharan Africa,Sao Tome and Principe,Vegetables,Online,C,12.07.2012,1320,83331.60
Asia,China,Snacks,Online,M,9/23/2015,8430,464830.20
Middle East and North Africa,Pakistan,Beverages,Offline,C,02.06.2015,4202,65803.32
Middle East and North Africa,Algeria,Fruits,Online,M,5/15/2017,8329,20072.89
Europe,Liechtenstein,Beverages,Offline,C,10.12.2014,2535,39698.10
Australia and Oceania,New Zealand,Personal Care,Online,C,12/28/2011,5575,139709.50
Sub-Saharan Africa,Cameroon,Cosmetics,Offline,C,9/23/2014,8235,1431819.45
Sub-Saharan Africa,Sierra Leone,Cosmetics,Online,H,11.08.2010,8332,1448684.84
Central America and the Caribbean,Saint Kitts and Nevis,Vegetables,Online,M,01.05.2012,5715,360787.95
Central America and the Caribbean,Antigua and Barbuda,Baby Food,Online,M,12/25/2011,7264,696327.04
Asia,Kazakhstan,Snacks,Online,M,03.04.2013,1890,104214.60
Australia and Oceania,Marshall Islands,Beverages,Online,H,4/14/2015,5535,86678.10
Australia and Oceania,Palau,Clothes,Offline,M,6/30/2011,6173,453345.12
Middle East and North Africa,Morocco,Vegetables,Offline,C,12/28/2014,8809,556112.17
Sub-Saharan Africa,Cape Verde,Cereal,Online,C,4/20/2017,479,42434.61
Sub-Saharan Africa,Liberia,Household,Online,C,10/21/2014,5250,870082.50
Sub-Saharan Africa,Lesotho,Meat,Offline,M,07.08.2012,9221,527441.20
Europe,France,Beverages,Offline,H,9/26/2012,5523,86490.18
Asia,Japan,Fruits,Offline,M,04.03.2011,9315,22449.15
Sub-Saharan Africa,Mauritania,Clothes,Offline,L,04.12.2016,2790,204897.60
Europe,Switzerland,Personal Care,Offline,H,5/15/2014,173,4335.38
Europe,Greece,Snacks,Online,L,02.01.2012,2717,149815.38
Europe,Slovenia,Office Supplies,Offline,L,1/16/2017,3709,468261.25
Europe,Macedonia,Vegetables,Offline,M,06.05.2011,3467,218871.71
North America,Mexico,Office Supplies,Online,C,05.05.2016,4339,547798.75
Sub-Saharan Africa,Angola,Office Supplies,Offline,H,4/27/2012,5705,720256.25
Europe,Portugal,Beverages,Online,L,3/28/2011,8976,140564.16
Asia,Brunei,Household,Online,M,09.05.2014,2594,429903.62
Europe,Belarus,Cereal,Offline,M,2/25/2010,7033,623053.47
Central America and the Caribbean,Saint Vincent and the Grenadines,Clothes,Online,L,9/25/2012,9799,719638.56
Europe,Finland,Beverages,Online,C,11.05.2015,426,6671.16
Asia,Bangladesh,Beverages,Offline,M,03.09.2010,5483,85863.78
Middle East and North Africa,Azerbaijan,Beverages,Offline,M,3/28/2010,3568,55874.88
Sub-Saharan Africa,Eritrea,Cosmetics,Offline,M,8/14/2012,311,54073.57
North America,United States of America,Personal Care,Offline,C,01.05.2015,3373,84527.38
Sub-Saharan Africa,Liberia,Vegetables,Online,M,5/17/2012,7447,470129.11
Central America and the Caribbean,The Bahamas,Cereal,Online,L,11/19/2015,9255,819900.45
Europe,Denmark,Snacks,Online,H,04.06.2011,2554,140827.56
Europe,Slovakia,Fruits,Offline,H,08.08.2015,3129,7540.89
Sub-Saharan Africa,Liberia,Cereal,Offline,L,12/22/2012,3797,336376.23
Sub-Saharan Africa,Swaziland,Clothes,Offline,L,3/28/2011,9408,690923.52
Sub-Saharan Africa,Niger,Baby Food,Offline,H,7/13/2015,1841,176478.26
Central America and the Caribbean,Barbados,Cereal,Online,M,11/25/2016,5007,443570.13
Europe,Liechtenstein,Office Supplies,Online,H,04.07.2011,9848,1243310.00
Central America and the Caribbean,The Bahamas,Fruits,Online,H,9/26/2010,9339,22506.99
Central America and the Caribbean,Trinidad and Tobago,Snacks,Offline,H,2/18/2017,3483,192052.62
Middle East and North Africa,Iraq,Fruits,Offline,L,8/19/2010,4318,10406.38
Asia,India,Personal Care,Offline,C,02.11.2014,911,22829.66
Australia and Oceania,Solomon Islands,Household,Online,H,8/31/2013,4360,722582.80
Middle East and North Africa,Kuwait,Household,Online,L,5/15/2015,2794,463049.62
Sub-Saharan Africa,Ethiopia,Baby Food,Online,H,3/24/2011,6377,611299.22
Asia,Myanmar,Clothes,Online,L,3/28/2013,2298,168765.12
North America,United States of America,Office Supplies,Online,C,9/30/2011,9783,1235103.75
Sub-Saharan Africa,South Africa,Personal Care,Offline,M,02.04.2017,5086,127455.16
Sub-Saharan Africa,Botswana,Household,Offline,L,5/28/2010,6494,1076250.62
Australia and Oceania,Samoa,Fruits,Offline,C,07.02.2015,9323,22468.43
Sub-Saharan Africa,Burkina Faso,Meat,Offline,H,11.04.2011,922,52738.40
Asia,Maldives,Snacks,Offline,H,1/13/2014,5672,312754.08
Europe,Germany,Fruits,Online,M,01.10.2015,9983,24059.03
Asia,Philippines,Cereal,Online,M,08.12.2012,7297,646441.23
Sub-Saharan Africa,Guinea,Fruits,Online,M,3/29/2013,3089,7444.49
Middle East and North Africa,Pakistan,Household,Online,L,1/16/2013,9863,1634594.99
Middle East and North Africa,Morocco,Cosmetics,Online,H,10/22/2016,2156,374863.72
Sub-Saharan Africa,South Africa,Household,Offline,H,6/13/2011,1534,254229.82
Middle East and North Africa,Saudi Arabia,Snacks,Offline,H,3/26/2015,1597,88058.58
Sub-Saharan Africa,Democratic Republic of the Congo,Fruits,Offline,H,06.01.2013,2973,7164.93
Central America and the Caribbean,Saint Kitts and Nevis,Personal Care,Online,M,1/17/2015,8325,208624.50
Sub-Saharan Africa,Central African Republic,Cosmetics,Online,M,4/16/2011,7345,1277075.15
Europe,San Marino,Meat,Offline,L,02.08.2017,1757,100500.40
Australia and Oceania,Samoa,Beverages,Online,H,06.11.2014,314,4917.24
Asia,North Korea,Personal Care,Online,C,08.05.2016,3804,95328.24
Australia and Oceania,Samoa,Snacks,Online,C,06.06.2011,44,2426.16
Sub-Saharan Africa,Uganda,Meat,Offline,C,08.01.2010,8882,508050.40
Europe,Italy,Snacks,Offline,L,5/30/2015,7199,396952.86
Sub-Saharan Africa,Rwanda,Personal Care,Offline,L,03.06.2013,3904,97834.24
Asia,Tajikistan,Clothes,Offline,H,2/26/2011,4942,362940.48
Australia and Oceania,Australia,Baby Food,Offline,H,02.04.2010,8285,794200.10
Europe,Greece,Cosmetics,Online,M,08.11.2015,8939,1554223.93
Europe,Monaco,Household,Online,L,8/28/2011,3939,652810.47
North America,Canada,Fruits,Online,L,05.01.2017,7353,17720.73
Australia and Oceania,Kiribati,Fruits,Offline,H,12.07.2014,5279,12722.39
Europe,Bulgaria,Cosmetics,Online,C,05.02.2014,848,147441.76
Middle East and North Africa,Pakistan,Cosmetics,Offline,H,4/27/2011,9220,1603081.40
Central America and the Caribbean,Jamaica,Personal Care,Online,L,02.06.2014,2588,64855.28
Europe,Georgia,Meat,Online,H,10/25/2016,5175,296010.00
Central America and the Caribbean,Saint Lucia,Baby Food,Offline,C,11/14/2010,8237,789598.82
Central America and the Caribbean,Honduras,Cosmetics,Online,C,6/16/2011,5060,879782.20
Sub-Saharan Africa,Madagascar,Snacks,Online,H,11/27/2015,5960,328634.40
Central America and the Caribbean,Costa Rica,Snacks,Offline,C,01.12.2015,3287,181245.18
Sub-Saharan Africa,The Gambia,Baby Food,Offline,H,1/30/2012,6420,615421.20
Asia,China,Beverages,Online,H,05.12.2011,6771,106033.86
Europe,Poland,Vegetables,Online,H,6/15/2014,2782,175627.66
Asia,Cambodia,Personal Care,Online,L,06.11.2016,4927,123470.62
Asia,Laos,Vegetables,Offline,H,04.04.2017,710,44822.30
Sub-Saharan Africa,Sao Tome and Principe,Clothes,Offline,C,4/26/2010,9667,709944.48
Asia,Brunei,Fruits,Offline,C,8/13/2016,8366,20162.06
Asia,Maldives,Baby Food,Online,M,10.08.2012,5407,518315.02
Australia and Oceania,Papua New Guinea,Cosmetics,Offline,C,7/19/2010,6417,1115723.79
Europe,Spain,Clothes,Online,H,3/13/2015,9059,665292.96
Sub-Saharan Africa,Sierra Leone,Beverages,Offline,H,02.08.2014,8025,125671.50
Middle East and North Africa,Bahrain,Fruits,Offline,C,11/16/2010,39,93.99
Sub-Saharan Africa,South Sudan,Snacks,Online,H,12/14/2013,8856,488319.84
Europe,Ireland,Fruits,Online,C,2/18/2010,261,629.01
Europe,Moldova,Vegetables,Offline,H,10/14/2013,7072,446455.36
Sub-Saharan Africa,Cameroon,Meat,Offline,L,1/17/2010,4137,236636.40
Middle East and North Africa,Kuwait,Office Supplies,Online,C,8/16/2011,3338,421422.50
Sub-Saharan Africa,Tanzania,Office Supplies,Online,H,2/22/2017,8584,1083730.00
